osmid,y,x,highway
5704382355,21.0236777,105.8572166,
5704382356,21.0224236,105.8563571,
5704400882,21.024501,105.8614998,
5704400884,21.0246262,105.8621465,
5704400886,21.0248392,105.8620927,
5704400887,21.0252509,105.8604035,
5704400890,21.0256549,105.8600425,
5704400895,21.0236508,105.8623767,
5704400896,21.0228611,105.8597678,
5704400897,21.023263,105.8596522,
5704400900,21.0236085,105.8603123,
5704543860,21.0185502,105.862086,
5707054205,21.0201859,105.8610916,
5707054206,21.020005,105.8604405,
5707054207,21.0205697,105.8609559,
5707054208,21.0203688,105.8603337,
5707054217,21.0211944,105.8559752,
5707060227,21.0209023,105.8558784,
5707060234,21.022268,105.8576747,
5707060235,21.0211949,105.8609748,
5707060239,21.0223188,105.8604095,
5707060240,21.0221319,105.8597941,
5707060241,21.0221714,105.8591562,
5707060242,21.0223358,105.8597332,
5707599729,21.0183331,105.8597474,
5707599742,21.0198384,105.8633673,
5707599746,21.0195273,105.8621137,
5707599766,21.0197327,105.8594432,
5707599770,21.0189885,105.8599857,
5707599771,21.0187694,105.8597317,
5707599775,21.0184228,105.8602758,
5707599776,21.0182221,105.8611763,
5707599781,21.0178174,105.8615515,
5707599782,21.0171066,105.861701,
5707599786,21.0197027,105.8591455,
5707599788,21.0188821,105.8593326,
5707599790,21.0195804,105.8615967,
5707599797,21.0194661,105.8554036,
5707599801,21.0190698,105.8567889,
5707599805,21.0191224,105.8584531,
5753234221,21.0242564,105.8567846,
5762649353,21.0231777,105.8531269,
5774748659,21.0217135,105.8560411,
5808897770,21.0194974,105.8572876,
5839478946,21.024432,105.8548261,
5843520141,21.0241848,105.8572022,
5894328671,21.0199569,105.8551176,
5894328672,21.0197931,105.8553274,
5966485585,21.0201181,105.8545733,
6027206187,21.0251704,105.8543603,
6035928576,21.0250522,105.86208,
6053037213,21.0253856,105.8556365,
6053785702,21.0240162,105.8583591,
6065336685,21.0224176,105.8590972,
6067694085,21.018584,105.8621612,
6122748687,21.0226661,105.8553164,
6122751290,21.0227484,105.8552359,
6122768986,21.0227424,105.8554617,
6170852485,21.0228255,105.8613243,
6185305387,21.0243058,105.8558746,
6232634285,21.0250845,105.8548902,
6324812247,21.024043,105.8539531,
6326577290,21.0212159,105.8567074,
6352368469,21.0182728,105.851618,
6352370306,21.0193007,105.8586639,traffic_signals
6358070010,21.0231143,105.8575606,
6385048403,21.0249005,105.8555292,
6385048412,21.0216121,105.8538984,
6385048418,21.0215484,105.853568,
6385048432,21.0220299,105.854566,
6385048437,21.021534,105.8535603,
6385048445,21.0218992,105.8536719,
6385048451,21.0251129,105.8551037,
6388936705,21.0219546,105.8544641,
6408551377,21.0224374,105.8585815,
6408837600,21.023265,105.862417,
6408837604,21.024036,105.8622638,
6408837613,21.0214245,105.8617783,
6408837616,21.0217706,105.8628203,
6408837617,21.0232233,105.8622262,
6408837620,21.0239511,105.8619598,
6433567585,21.0249991,105.8620251,
6440634692,21.0241852,105.8614613,
6449234786,21.0247206,105.8570964,
6600251026,21.0249853,105.8600125,
6600251027,21.024985,105.8597931,traffic_signals
6600251028,21.0250478,105.8597622,crossing
6600251029,21.0250498,105.8600507,traffic_signals
6600251031,21.0250573,105.859962,
6611456185,21.0239287,105.8566213,
6611717983,21.0243283,105.8571306,
6611717984,21.024856,105.8564494,
6611717985,21.0247759,105.8566185,
6611717986,21.0246695,105.8567586,
6611717988,21.0249965,105.8566437,
6611717991,21.0248669,105.8564125,
6611717992,21.0249959,105.8564556,
6611718000,21.0243215,105.8567406,
6611718001,21.0243046,105.8567412,
6611718004,21.0239507,105.8566889,
6611718005,21.0240258,105.8564137,
6611718006,21.0243804,105.8565247,
6611718737,21.0236354,105.8518915,
6611718738,21.0237819,105.8519237,
6611773894,21.0255154,105.8547495,
6611773895,21.0251329,105.8546334,
6611833201,21.0209378,105.8566244,
6611833202,21.0209755,105.8566379,
6611833203,21.0209334,105.8567729,
6611833204,21.0203986,105.8565928,
6611833205,21.0204439,105.8564475,
6611833206,21.0206001,105.8565034,
6611833207,21.0207075,105.8561593,
6611833208,21.0208954,105.8561305,
6611833209,21.0210462,105.8562772,
6611833212,21.0203302,105.8592603,
6611833217,21.0202818,105.8590887,
6611833218,21.0201873,105.8587203,
6611833220,21.0201878,105.8585274,
6611833241,21.0209621,105.859061,
6611833242,21.02121,105.8581812,
6638714394,21.0210247,105.853757,
6639736385,21.024781,105.8558267,
6644037903,21.023253,105.859536,
6644037904,21.0233196,105.8594366,crossing
6644037905,21.0232226,105.8593849,crossing
6644476982,21.0224837,105.8574926,
6644534239,21.0227757,105.8594938,
6644534240,21.0228502,105.8594718,
6644534244,21.0228409,105.8579239,
6644534245,21.022729,105.8578464,
6644534246,21.0227717,105.8576379,traffic_signals
6644534247,21.0229142,105.857324,traffic_signals
6644534248,21.0226242,105.8575607,traffic_signals
6646826309,21.024953,105.8550051,traffic_signals
6646826310,21.0250481,105.8551917,traffic_signals
6646826311,21.0248813,105.85529,traffic_signals
6647111311,21.0247255,105.8583466,crossing
6647111314,21.0247498,105.8590069,crossing
6647207214,21.0247994,105.8582373,crossing
6647207215,21.0249267,105.8594296,crossing
6647207216,21.0249845,105.8594173,crossing
6647334055,21.025187,105.8543474,
6647917257,21.0249592,105.8544342,
6647917258,21.0249079,105.8546488,
6648055354,21.0244768,105.8572011,
6648288794,21.0230445,105.8574012,traffic_signals
6648288796,21.0186189,105.862069,crossing
6648288797,21.0186051,105.8620102,traffic_signals
6656456339,21.0211894,105.8556502,
6658015489,21.0241718,105.861868,
6658015490,21.0242701,105.8622375,
6658015491,21.0251125,105.8620664,
6662289397,21.0205139,105.8538535,traffic_signals
6662289398,21.0206676,105.85374,traffic_signals
6662289399,21.020597,105.8535495,traffic_signals
6662352878,21.0217227,105.8560005,traffic_signals
6662352879,21.0216383,105.8562849,traffic_signals
6662352880,21.0215243,105.8560776,traffic_signals
6662352881,21.0217826,105.8561642,traffic_signals
6662352882,21.0201602,105.8556318,traffic_signals
6662352883,21.0199417,105.8557417,traffic_signals
6662352884,21.0199235,105.8555519,traffic_signals
6662355785,21.0200486,105.8554005,traffic_signals
6662487543,21.0244824,105.8566949,crossing
6662487544,21.0239295,105.8568738,crossing
6662487546,21.0230077,105.8565531,traffic_signals
6662487547,21.0230828,105.8567571,traffic_signals
6662487548,21.0232664,105.856642,traffic_signals
6662487549,21.0231761,105.8564479,traffic_signals
6662719077,21.0207342,105.8560529,
6676496647,21.0183814,105.8588915,
6676496648,21.0183789,105.858707,
6684786556,21.0237927,105.8547974,traffic_signals
6684786558,21.023637,105.8549332,traffic_signals
6685514072,21.0203117,105.8617843,
6685527205,21.0183883,105.8618107,crossing
6685527206,21.0184666,105.8620438,crossing
6685527207,21.0184779,105.8621027,traffic_signals
6685542593,21.0179413,105.8621617,
6685542594,21.0179503,105.8622244,
6685556118,21.0187112,105.8541878,
6685594245,21.0191635,105.8581842,
6685594246,21.0190442,105.8581779,
6685594995,21.0183736,105.8552326,crossing
6685594996,21.0184745,105.8550644,crossing
6685594997,21.0182179,105.8551039,crossing
6685594998,21.0191208,105.8533242,traffic_signals
6688223091,21.0232843,105.8528219,
6688241181,21.0214218,105.854253,
6688241182,21.023308,105.8547735,
6689431163,21.0194006,105.8527184,crossing
6689431164,21.0194585,105.8526981,crossing
6689431165,21.0194209,105.8526765,
6689473460,21.0192342,105.8530704,traffic_signals
6689473461,21.0192618,105.853253,traffic_signals
6689486564,21.0194507,105.8554633,crossing
6689572371,21.0189863,105.8589387,traffic_signals
6689572373,21.0188078,105.8587611,traffic_signals
6689572375,21.0190816,105.8585545,traffic_signals
6689572376,21.0189691,105.8582007,
6689572377,21.0192141,105.8582105,
6689572378,21.0187481,105.8566866,crossing
6689572379,21.0186705,105.8567822,crossing
6689572381,21.0186386,105.8565682,crossing
6689625499,21.0185735,105.856863,
6689625500,21.0184195,105.8562233,
6689625501,21.0183494,105.8557887,
6689625503,21.0184909,105.8544369,
6689625504,21.0185547,105.8540453,
6689625505,21.018735,105.8541345,
6689625506,21.0190655,105.8528249,
6689625507,21.0192925,105.8529418,
6689625508,21.0192721,105.8528021,
6689625511,21.0221212,105.8577265,crossing
6689625512,21.021295,105.8580052,crossing
6689625513,21.0211421,105.857928,crossing
6689625514,21.0210226,105.8580873,crossing
6689668432,21.0226675,105.852762,traffic_signals
6689675996,21.021964,105.8577115,crossing
6689675997,21.0187738,105.8569206,
6689675998,21.0187037,105.8564499,
6689675999,21.0195425,105.8526412,
6689676003,21.0195137,105.8586922,
6689676004,21.0187463,105.8577494,
6689685037,21.0241655,105.8530743,traffic_signals
6689685038,21.0240659,105.8528875,traffic_signals
6689686491,21.0221801,105.8544284,traffic_signals
6689686492,21.0222668,105.8541332,traffic_signals
6689686493,21.02236,105.8543307,traffic_signals
6689701337,21.0186773,105.860065,crossing
6689701338,21.0188366,105.859772,crossing
6689701339,21.0197129,105.8569939,traffic_signals
6689701340,21.0194235,105.8568998,traffic_signals
6689701341,21.0195596,105.8570699,traffic_signals
6689701342,21.0196276,105.8568417,traffic_signals
6689703487,21.0253162,105.8584255,
6689714426,21.0182143,105.8529084,traffic_signals
6689714427,21.0180736,105.853025,traffic_signals
6689745530,21.0147943,105.8626499,
6689794091,21.0185937,105.8612226,
6738037605,21.0186117,105.8565768,
6794556086,21.0209243,105.8563172,
6798156540,21.0248081,105.8557912,
6798156550,21.0247472,105.8560016,
6798176413,21.0234182,105.8565794,
6811824695,21.0245982,105.8585485,
6813546246,21.0200118,105.8548972,
6813546250,21.023654,105.852931,
6907074683,21.0245104,105.8561224,
6907074684,21.0244331,105.8560988,
6907090985,21.0244077,105.8561946,
6907090986,21.024485,105.8562182,
6919616661,21.0231813,105.8568114,
6923788657,21.0245032,105.8561731,
6924038649,21.0245599,105.8549087,
6924855571,21.0247026,105.8567208,
6924855573,21.024143,105.8550444,
7019023780,21.0248759,105.8583733,
7099271385,21.0214017,105.8571472,
7102019085,21.0214041,105.8572175,
7107497485,21.0225776,105.8564535,
7119281385,21.0201979,105.8527494,
7140198187,21.0203602,105.8542411,
7140198385,21.0225054,105.8575276,
7162736840,21.0197709,105.8622336,
7162752438,21.0239206,105.8603744,
7205751930,21.0213654,105.8566874,
7215868885,21.0230514,105.8566392,
7589589146,21.0221878,105.8612022,bus_stop
7736580234,21.0202569,105.8595554,
7736580235,21.0201297,105.8591411,
7736580250,21.0214747,105.8587003,
7736580251,21.0215253,105.8588816,
7736580260,21.0213685,105.8587391,
7771967132,21.0279442,105.8583341,
7771969448,21.0249863,105.8601913,
7771969548,21.022765,105.855232,
7771969605,21.0238628,105.850565,
7771969616,21.0126561,105.8610925,
7821910475,21.0225501,105.8613482,bus_stop
7821910476,21.0224087,105.8610179,
7821910477,21.0222952,105.8611928,
7821910479,21.021878,105.8612123,
7821985270,21.0181686,105.8604226,
7821985272,21.018194,105.8609106,
7821985273,21.0180571,105.8608725,
7821985275,21.0180005,105.8604614,
7821985278,21.0185676,105.8597194,
